KO_ID	KO_function	SRS020862	SRS022143	SRS022149	SRS022281	SRS022530	SRS022536	SRS022719	SRS022725	SRS022883	SRS023352	SRS023358	SRS042307	SRS043461	SRS043494	SRS043663	SRS043942	SRS044366	SRS045313	SRS045588	SRS045602	SRS046595	SRS047126	SRS047824	SRS048744	SRS049211	SRS050244	SRS050709	SRS051228	SRS051941	SRS052227	SRS052570	SRS052604	SRS052876	SRS053895	SRS054196	SRS054687	SRS055401	SRS055426	SRS056090	SRS056113	SRS056327	SRS056951	SRS057244	SRS057619	SRS057791	SRS058053	SRS058693	SRS063485
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	744.9617000000001	950.1982	192.2739	1186.2106999999999	416.4658	724.7570999999999	239.5333	699.9613	1319.0207	552.7997	114.3944	212.32029999999997	397.8084	926.1738	849.145	482.211	231.22379999999998	10.9385	261.04290000000003	620.0444	710.6066	672.4322999999999	797.1617	380.5343	88.67609999999999	902.1915	0.0	324.3009	586.0534	135.2471	124.0475	249.629	557.6537000000001	618.8561	725.9087000000001	1198.6941	501.5193	146.5147	562.3152	496.7676	522.9029	123.4788	247.7386	368.11	785.7032	431.4438	777.0686000000001	1748.2797
K00018	glycerate dehydrogenase [EC:1.1.1.29]	73.809	1183.1027	146.2614	879.0502	957.2448	884.3448	1064.4341000000002	1098.2031	1260.5118	987.8712	93.95429999999999	221.0084	467.2816	673.1355	2007.0018999999998	146.7663	35.346	150.4396	33.2498	1455.5728000000001	955.6921	393.40160000000003	1199.3265000000001	701.5704999999999	279.3776	1240.6617	23.9314	208.57670000000002	296.7057	613.256	811.1003000000001	238.1139	702.0559000000001	446.817	122.8933	1320.1403	178.6411	226.6144	261.8326	446.2982	437.0239	62.609	546.0417	138.0586	1230.0036	409.9987	1244.9706	2177.8014
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	22.6483	36.0	34.9734	240.4198	76.95570000000001	183.5818	44.6751	206.7601	197.24689999999998	77.11840000000001	11.9064	74.8113	54.85339999999999	67.0	753.9077	110.3129	0.0	0.0	0.0	131.50119999999998	253.1691	40.7863	12.8537	4.9856	0.0	130.43710000000002	5.3165	71.8507	139.6201	31.554	42.0	46.6505	294.1131	101.4508	226.0803	339.5263	187.35410000000002	146.6885	160.1811	230.73610000000002	27.7599	0.0	42.0	83.0838	51.9006	92.3997	97.2854	1311.7682
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0.0	25.2167	0.0	46.7327	32.5586	8.4863	89.8272	0.0	96.2184	20.2412	0.0	0.0	17.347	57.3516	58.116	25.9113	0.0	0.0	0.0	132.0239	20.7907	3.4664	18.124	19.694	0.0	0.0	0.0	0.0	29.514	25.0455	27.884	0.0	21.6701	89.98060000000001	12.9926	87.7895	67.7975	23.746299999999998	65.0	0.0	19.4027	4.1752	15.0057	0.0	9.1377	0.0	62.4312	575.5219999999999
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	0.0	5.8754	38.915	0.0	46.1089	0.0	9.891	55.582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6819	0.0	0.0	0.0	0.0	0.0	0.0	5.8548	0.0	0.0	0.0	0.0	3.8558	0.0	0.0	0.0	0.0	0.0	5.8911	0.0	80.8185
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	0.0	0.0	0.0	88.0	0.0	16.9201	4.2602	35.8997	111.206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5651	0.0	0.0	18.0542	0.0	0.0	0.0	0.0	0.0	0.0	11.2588	0.0	0.0	0.0	20.981	0.0	16.7276	0.0	51.1612	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1061.8753
K00024	malate dehydrogenase [EC:1.1.1.37]	187.2579	262.4251	109.8074	1342.2542	261.5999	1022.9552	1204.1894	435.62600000000003	1188.5808	79.9091	76.33789999999999	72.27990000000001	150.27859999999998	93.7745	62.6263	20.6994	79.1528	0.0	152.472	207.85790000000003	691.7066	442.5759	338.4576	214.6039	107.8387	388.2757	10.0	307.9926	581.9574	88.6778	527.2053	240.7251	804.2432	508.7279	517.759	726.7532	189.48489999999998	36.366	182.1465	455.711	187.85760000000002	54.7719	139.0918	345.2043	309.3323	208.7643	516.1424999999999	2980.8246
K00026	malate dehydrogenase [EC:1.1.1.37]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0.0	549.4649000000001	16.0821	276.96979999999996	127.4264	127.60119999999999	22.1261	118.2937	222.1447	334.2992	0.0	0.0	238.46349999999998	476.7558	81.5317	1057.4518	0.0	0.0	0.0	22.1987	41.3887	78.9487	712.9211	55.944	94.1654	511.3686	0.0	9.99	75.7157	16.9944	115.82469999999999	0.0	35.8661	12.588	9.3557	234.2896	0.0	93.7781	0.0	14.1248	329.1391	0.0	158.0768	41.0379	135.7542	75.0807	339.2486	200.9757
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	299.6935	645.4096000000001	124.9259	1282.5148	554.3252	762.6163	1502.4525	968.2216999999999	1338.2373	910.4964	82.2272	181.7637	455.2046	402.96220000000005	1204.5349	188.6513	83.9785	94.9846	123.5065	845.5934	846.1616	327.92	1418.0626	404.4094	163.8611	1528.8686	32.4631	257.0799	527.2495	571.9563	938.7828000000001	160.1312	763.1794	560.2781	295.5409	1439.4796	201.32899999999998	254.8809	374.69050000000004	425.415	419.98519999999996	77.16839999999999	806.3674	196.803	796.4107	346.2821	1318.1566	2412.4371
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0.0	339.1487	25.4865	40.336	46.3472	42.8749	4.7485	51.0728	164.2415	272.2157	0.0	0.0	7.8587	13.0663	27.8049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.81560000000002	21.936999999999998	0.0	250.642	0.0	0.0	56.0155	10.4	0.0	49.09909999999999	42.3258	0.0	0.0	20.3084	6.2	13.219000000000001	0.0	37.6493	12.9096	0.0	9.5463	0.0	38.815	16.755499999999998	27.685200000000002	145.133
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	34.3559	193.9583	14.540399999999998	193.1308	92.37209999999999	127.2604	57.4222	82.96940000000001	376.2418	145.0145	13.9277	33.8374	90.665	121.10220000000001	126.58330000000001	89.8963	0.0	5.7314	65.2628	156.6548	66.6131	78.59849999999999	257.0476	52.9292	314.3584	167.3013	0.0	23.514400000000002	63.9565	0.0	0.0	21.8838	48.1077	226.2996	152.97750000000002	146.8282	125.30529999999999	134.8502	86.0113	74.9412	167.2553	11.4771	10.163599999999999	10.1929	213.5952	61.9035	115.98169999999999	1482.3656
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	1031.8875	516.8751	242.8946	1288.9037	948.1094	1230.9358	3364.8313	999.8958	1867.0337	572.2239	372.3479	355.84590000000003	605.9695	845.1107999999999	2650.8622	436.7273	329.6358	111.9086	209.2333	1158.3585	2064.2047	883.9982	902.2016	828.7661999999999	161.0891	1010.6612	39.901799999999994	447.9069	878.7802	479.3783	923.1269	490.4857	589.6158	879.5385	907.0684	2115.3112	634.2570000000001	475.3634	675.7556999999999	797.6398	453.3983	148.8673	463.2534	693.2108	1348.1597	778.8294	1936.7067	1954.0584000000001
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	0.0	74.4924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0687	0.0	0.0	0.0	12.2913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.3588	0.0	0.0	32.6387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4534	0.0	0.0	0.0	0.0	0.0	10.8995	0.0	0.0	0.0
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	655.9196	438.8165	204.4766	1226.6702	767.2221	1395.8258	2209.8903	872.1893	1534.4892	335.591	213.6403	318.781	328.4318	976.2325	1631.8855	256.1972	237.6214	84.6431	187.2037	874.6691999999999	2035.4783	718.419	501.964	642.784	193.1063	677.6549	16.64	565.0502	727.5396999999999	475.3859	951.749	277.6041	697.8721	739.1532	1033.4802	1363.7361999999998	338.6023	353.4578	512.0675	713.9745	161.0511	105.0536	670.1074	877.4693	872.9977	663.3602	1532.2189	2124.1018
K00041	tagaturonate reductase [EC:1.1.1.58]	0.0	0.0	6.2716	35.456	13.6396	25.0387	0.0	8.3401	58.731700000000004	83.1572	0.0	0.0	0.0	15.9444	16.9572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.794	16.3461	193.51309999999998	42.867000000000004	0.0	0.0	0.0	0.0	0.0	0.0	19.1704	0.0	0.0	27.8446	0.0	5.9521	0.0	0.0	31.2894	0.0	6.6502	0.0	43.0768	13.915600000000001	0.0	20.689700000000002
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	0.0	19.6288	4.5034	28.961399999999998	0.0	0.0	0.0	3.7119	53.5996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3367	0.0	0.0	0.0	0.0	3.748	0.0	6.6441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.7109
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	42.6186	0.0	30.3886	455.8655	0.0	116.2427	0.0	31.9973	522.2149	0.0	0.0	13.4615	0.0	0.0	0.0	0.0	66.1132	0.0	24.732	0.0	0.0	156.9038	0.0	0.0	0.0	0.0	0.0	50.9023	0.0	0.0	0.0	0.0	0.0	84.5186	107.8378	0.0	0.0	0.0	46.9458	168.0972	0.0	8.247	0.0	246.9778	0.0	206.75060000000002	0.0	158.5103
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	0.0	97.3184	7.6231	105.6286	27.1115	24.028	7.954	34.209	296.6015	107.536	15.7356	0.0	10.292300000000001	18.4067	6.3545	0.0	35.6716	0.0	0.0	40.2456	0.0	8.0	149.63049999999998	18.8943	301.9446	120.3047	0.0	0.0	113.9142	0.0	0.0	29.0	35.4384	26.940199999999997	8.3444	5.0283	21.935	10.5299	5.2732	14.4436	17.3706	0.0	0.0	8.5858	110.1729	80.5904	28.451500000000003	122.9331
K00048	lactaldehyde reductase [EC:1.1.1.77]	40.3299	789.6854	120.32770000000001	163.4614	445.42629999999997	291.8032	108.1145	201.6184	336.2265	487.7091	87.715	222.6456	291.95820000000003	425.488	323.1612	41.2118	26.7326	96.8011	13.5052	620.8473	73.6179	174.00560000000002	562.5276	79.9383	335.644	577.4019	0.0	103.41659999999999	161.3282	191.9231	98.78639999999999	189.8624	133.9543	89.2661	62.4592	370.6153	0.0	98.7834	153.42329999999998	105.61699999999999	102.1921	49.9429	31.323999999999998	50.5685	921.6425	154.2145	304.96819999999997	294.3303
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	893.4389	932.6976	255.1084	1549.8461	1546.4284	795.4743000000001	2370.1405	1102.3269	1440.0098	948.7846	171.9532	313.385	652.6397000000001	1437.557	1706.1696	503.25739999999996	217.7353	147.4726	216.4511	1628.3790000000001	1487.9153000000001	716.3161	1903.0797	1175.8768	376.2685	1508.6256	16.4881	534.2701	838.2634	681.4829	799.8391	194.46519999999998	545.6947	799.6197999999999	736.212	1342.1468	404.0783	369.6592	630.9821	782.1838	644.1146	140.5644	605.1539	642.8419	1765.6542	681.2504	1722.9036	3330.2934999999998
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	812.0044	1123.9455	299.5652	2044.4587	905.755	1429.5632	1556.4219	1389.5887	1868.183	1490.4261000000001	475.9511	414.9996	1017.647	1470.7185	1556.775	736.9747	234.23160000000001	143.3067	215.0927	932.2899	1565.5813	837.318	2669.5894	1358.866	343.8825	1512.3215	30.058999999999997	533.5878	1058.4714000000001	433.9431	551.7081	463.3554	685.5107	1038.3498	700.7853	2598.5219	447.5681	699.5790000000001	651.3506	891.8817	1158.175	238.9888	791.04	1029.9038	2355.9146	1024.7044	1846.0826	3278.1808
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	194.847	541.6525	70.0006	345.6525	377.8666	468.8604	315.26959999999997	506.3573	534.3324	696.7294	138.4887	83.8121	235.2895	527.6706	668.1947	439.8043	48.3033	21.9255	16.5328	586.8037	1007.961	216.0079	380.5133	171.0603	0.0	574.5421	0.0	213.8145	380.0979	185.0016	75.0823	149.1248	731.3363	182.0507	190.8279	799.4805	200.6978	378.2547	423.4473	381.695	223.7492	48.22	203.0326	212.96	524.5426	188.5947	960.0207	1366.5146
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	773.8474	2606.7456	359.6103	1793.1599	1470.129	1868.9376	2515.3774	1941.0273	3090.4536000000003	2594.8159	361.2613	461.419	961.8733	1958.268	3545.8422	846.9351	284.0446	267.2429	240.0498	2017.6667	3140.1668999999997	1082.6045	2722.8486	1530.0713	348.6163	2664.6813	34.323499999999996	602.6615	1181.5287	1231.3376	1004.9297999999999	385.461	1117.1148	962.6474	950.706	2365.4388	732.9824	961.7704	935.3084	1278.424	987.5941	329.7932	1145.3206	735.0913	2700.3048	978.8858	2223.6603	4483.7807999999995
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	221.52870000000001	988.5979	92.40599999999999	1115.585	470.1286	769.7728	578.8928	782.7097	1324.7656	797.2351	197.39950000000002	180.1662	543.8695	795.6599	191.8714	175.4766	46.8087	85.429	144.6414	473.1083	107.2867	319.2214	657.8548000000001	387.3476	83.60419999999999	1182.3426	10.6399	355.3854	606.6157000000001	146.9914	279.3572	172.3602	692.4865	161.5376	332.5039	783.7417	163.3703	390.5469	348.989	643.67	465.8125	57.5531	277.4981	327.137	762.9824	463.6248	509.3934	3225.2199
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	1266.9445	3225.0631	363.6316	2564.4617	2170.2425	1800.0062	3931.2817	3001.9345	4161.4712	3161.0308	555.8221	427.0766	1311.3215	1613.3078	3756.8856	859.8898	87.4548	270.7896	166.5265	2796.9305	3093.4701999999997	1024.3512	2741.5816	1962.0185	524.7338	3481.9569	30.872799999999998	586.9994	1557.4054	1458.1153	1379.7429	659.7532	2154.1798	1609.8077	816.4177999999999	3538.8128	1106.2036	1150.8980999999999	1138.4558	1337.7933	1396.3879	366.3505	1833.4686	848.8957	2559.0424000000003	1129.3426	2897.7956	6992.0211
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	0.0	93.1886	0.0	23.6676	28.8077	0.0	0.0	0.0	115.0	64.8758	16.1876	0.0	23.2801	90.6601	0.0	4.3623	0.0	0.0	0.0	0.0	0.0	0.0	170.7246	5.7068	0.0	219.0299	0.0	4.7661	21.3321	4.4979	0.0	0.0	0.0	0.0	10.0845	104.9729	0.0	9.422	14.0	0.0	37.4454	0.0	4.9365	0.0	96.8842	12.4286	14.9094	75.5504
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0.0	33.0	0.0	29.3712	0.0	12.6253	0.0	0.0	57.4884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.3385	0.0	0.0	4.1796	0.0	0.0	0.0	0.0	47.7054	0.0	0.0	0.0	0.0	112.9315	0.0	0.0	0.0	0.0	0.0	15.9199	0.0	0.0	0.0	0.0	50.832	0.0
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.4317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	349.3623	1284.8449	134.5232	1067.566	1013.0749	897.8056	1605.441	1217.1358	1896.7565	1280.8984	137.6744	65.1463	605.158	745.0485	1732.6798	276.6323	73.3972	38.4225	84.758	1152.6325	921.9422	393.7626	1136.733	400.1462	378.951	1490.3573	12.0	189.0593	692.1269	576.0781	659.5552	222.5775	1118.1053	743.2308	306.7136	980.6812	259.425	368.8849	525.9561	531.906	477.7227	110.2969	731.3731	319.4155	1109.1649	419.7748	737.698	3559.8499
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	125.3521	251.9478	39.4519	218.77609999999999	76.11160000000001	151.2001	79.54560000000001	40.7291	235.7359	79.4348	64.8499	93.1751	204.0768	602.1528	96.14829999999999	143.3185	42.2971	0.0	38.9678	32.658	149.3514	207.1354	215.2271	177.1972	0.0	293.0769	0.0	37.5871	234.9347	154.57580000000002	90.2647	9.1556	49.089600000000004	91.0649	276.9974	208.11700000000002	120.3393	80.59819999999999	346.6479	145.5018	576.5891	0.0	211.3501	132.0237	150.4334	7.3679	322.2711	310.8329
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	0.0	27.4324	0.0	0.0	0.0	6.2004	0.0	28.2687	0.0	39.0	0.0	0.0	0.0	19.6505	6.4039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	3.943	0.0	52.6144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4492	0.0	0.0	0.0	0.0	0.0	0.0	18.6505	0.0	0.0	0.0
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	89.3132	200.3825	14.774999999999999	237.492	32.4012	103.2029	302.2571	224.4453	250.0822	149.0205	112.1001	23.7435	54.3226	73.0817	196.3885	0.0	0.0	54.598	14.852699999999999	12.0	68.9453	69.6302	383.5577	82.8386	65.5355	319.3223	0.0	53.14149999999999	53.1014	131.3935	20.3816	0.0	38.4702	22.4775	45.4309	139.6201	68.86959999999999	126.81909999999999	71.9594	107.1939	129.5698	59.3601	90.70309999999999	79.8995	106.78120000000001	50.681	96.8721	1260.561
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	908.6191	3634.0486	555.5823	2476.1775000000002	1662.7223	2267.8268	2425.169	2472.2037	4047.9771	3156.4463	599.4206	368.0458	1419.6191	2146.071	3566.3938	882.3504	233.2687	206.8964	280.1259	2622.8374	2497.6725	1078.2272	4066.0378	1649.6284	391.2251	4054.4931	21.4348	813.7374	2029.0607	1244.2092	1121.8013	773.1496	2043.4369000000002	830.9088	1026.1912	3569.743	722.4831	1338.1626	804.9312	1446.7714	1463.1974	448.5458	1306.4364	1077.0781	3148.6782	1322.7061	2860.7692	5234.390600000001
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	0.0	65.3257	0.0	30.6008	0.0	35.8823	0.0	73.25059999999999	87.6157	0.0	0.0	0.0	0.0	68.7757	0.0	0.0	0.0	0.0	0.0	12.6755	5.0862	0.0	0.0	82.0798	23.8185	74.256	0.0	0.0	30.8684	0.0	10.3549	0.0	37.1901	0.0	0.0	46.1508	0.0	9.9404	0.0	5.8321	21.346	0.0	0.0	0.0	28.0304	17.3006	24.3169	110.22999999999999
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	183.4237	557.1432	144.8991	878.751	452.9366	963.2445	471.8917	477.1912	1453.5898	430.412	133.0668	16.1455	206.7974	462.0716	523.7026	227.0894	167.3613	12.857099999999999	119.9201	728.9182	449.27570000000003	246.4764	385.259	123.5315	302.9479	660.3977	0.0	323.7052	827.7033	206.51549999999997	200.6627	130.9444	702.4630999999999	180.82739999999998	427.5211	407.5956	56.9167	254.12800000000001	115.4634	504.5789	319.4988	92.3757	288.5093	896.3993	574.7157000000001	368.243	918.4050000000001	680.7636
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	0.0	0.0	7.6171	351.0481	0.0	16.421300000000002	0.0	4.6574	211.843	0.0	0.0	5.1682	0.0	0.0	0.0	0.0	0.0	0.0	57.273	0.0	0.0	0.0	28.0	0.0	109.0186	11.6585	0.0	6.271	27.987099999999998	0.0	0.0	0.0	0.0	0.0	53.1201	0.0	0.0	0.0	23.3726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.3491
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0.0	0.0	0.0	39.3259	11.1501	20.6326	12.1765	31.2065	17.0649	48.1012	0.0	0.0	17.0	20.6724	35.5657	8.4922	0.0	0.0	0.0	18.1413	0.0	0.0	73.0663	41.7993	0.0	26.2792	0.0	0.0	0.0	0.0	0.0	0.0	13.6505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.1319	0.0	0.0	0.0	0.0	0.0	0.0	0.0
