KO_ID	KO_function	SRS062418	SRS062714	SRS063373	SRS063823	SRS064197	SRS064466	SRS064937	SRS065299	SRS075765	SRS075771	SRS075870	SRS075876	SRS075987	SRS075993	SRS076764	SRS076770	SRS076868	SRS076874	SRS077239	SRS077245	SRS077384	SRS077390	SRS077441	SRS077447	SRS077633	SRS077639	SRS097912	SRS097918	SRS097966	SRS097972	SRS098045	SRS098057	SRS1054712	SRS1054853	SRS1054881	SRS893260	SRS893280	SRS893283	SRS893291	SRS893318
K00018	glycerate dehydrogenase [EC:1.1.1.29]	224.8664	643.5284	522.9864	9.1097	232.0269	22.1332	319.8261	802.7818	620.7239999999999	548.4525	1163.5243	521.3172999999999	951.73	74.9614	1178.6652	228.0224	609.2189	161.2145	892.9958	759.4361	896.3283	287.8572	1422.8023	491.61629999999997	708.3329	492.8946	901.7905000000001	407.2504	746.8193	564.1903	425.557	432.7072	756.3994	425.8295	517.564	361.6886	50.7761	352.6732	392.8274	349.94030000000004
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	6.1176	38.3091	237.0911	0.0	0.0	8.9926	263.4036	87.0	10.2173	153.67249999999999	332.7568	118.27040000000001	27.8615	32.3198	212.8597	27.223300000000002	45.8813	67.4866	293.9604	211.8312	69.3813	78.98010000000001	89.2818	75.54220000000001	46.3405	80.0107	0.0	330.5324	29.9688	94.3995	112.4078	150.2449	40.201499999999996	34.2263	49.663	0.0	0.0	61.1802	0.0	108.1148
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	4.0654	24.1092	48.3458	0.0	14.4994	0.0	5.6633	18.5609	0.0	0.0	7.246	77.0421	0.0	0.0	32.6667	18.7964	6.7543	0.0	31.628	35.0	0.0	6.9884	14.8965	33.1013	13.3925	55.6962	21.0	80.34989999999999	0.0	31.0	0.0	331.3383	11.2059	21.672400000000003	47.5495	17.413	0.0	4.0241	0.0	35.1609
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5263	0.0	0.0	0.0	20.0	0.0	26.0	0.0	46.5234	0.0	34.0	0.0	0.0	0.0	19.2245	0.0	5.9236	0.0	0.0	0.0	20.873	0.0	32.1815	0.0	5.8587	0.0	0.0	0.0	3.7498	0.0	18.3085
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	51.5	0.0	30.7913	0.0	0.0	0.0	19.0	0.0	0.0	0.0	43.0	0.0	7.0488	0.0	52.1775	0.0	49.0	0.0	333.3089	0.0	0.0	0.0	164.6856	0.0	24.0	0.0	0.0	0.0	40.0	0.0	14.935
K00024	malate dehydrogenase [EC:1.1.1.37]	49.5954	308.8303	266.9328	0.0	0.0	57.6111	429.5183	338.9285	274.4277	862.6128	226.77820000000003	643.6927999999999	292.597	307.7864	216.0401	535.9007	460.1949	582.6764000000001	484.8745	967.3168000000001	417.8394	466.6542	686.2860999999999	711.5316	654.5626	871.7146	408.87559999999996	727.6327	404.53090000000003	1113.7683	395.3051	688.149	456.1193999999999	237.224	262.3856	232.6316	249.7957	258.5812	65.8112	407.5056
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0.0	276.4382	71.0977	0.0	0.0	0.0	0.0	184.5811	698.9875	45.0	490.1951	0.0	320.5272	90.1223	410.6871	0.0	787.8027000000001	23.0	127.8424	119.28	487.41909999999996	11.5658	12.5337	17.5458	697.79	225.8804	473.7324	28.0	509.8617	0.0	146.486	65.6636	347.3107	0.0	39.2856	581.2469	0.0	9.4531	429.0743	0.0
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	194.7848	724.187	500.108	0.0	172.4758	87.5658	361.9153	781.5114	340.0378	846.4812999999999	848.3534999999999	516.7172	1172.2889	316.85609999999997	842.1978	443.1553	681.6421	250.9573	942.9879000000001	929.8291	816.0035	284.0572	1926.9204	800.7375	722.2156	936.3254000000001	792.7741	778.1976	984.3434	1237.4963	404.1119	813.8616999999999	1273.6403	302.76279999999997	740.14	252.7634	54.3634	431.9571	498.4223	228.4655
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0.0	6.51	8.6776	0.0	0.0	0.0	0.0	0.0	205.8533	34.772400000000005	77.855	7.5453	116.2197	0.0	70.61070000000001	14.8932	117.6865	0.0	6.1771	120.30669999999999	74.7003	0.0	0.0	0.0	258.2485	9.8159	89.72070000000001	0.0	102.8446	43.1115	103.4717	6.6657	25.2083	0.0	5.1164	39.1774	0.0	0.0	39.0453	0.0
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	12.0568	62.3291	7.915	0.0	0.0	0.0	22.837	53.8614	71.5915	164.8249	27.1219	144.821	43.9975	39.2119	226.8146	87.64	70.0675	113.437	4.5252	177.1495	113.40550000000002	62.4942	12.3435	204.9313	57.6864	57.7233	82.2452	493.4066	54.6025	350.2996	82.4714	336.48969999999997	34.6981	152.1817	104.50200000000001	53.1649	55.254999999999995	70.2627	31.0948	24.9183
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	193.8034	870.8358000000001	1055.4701	39.167	491.625	54.5572	804.623	577.7942	976.4253	1140.1573	545.8453000000001	1080.3558	1059.669	489.69140000000004	1160.2829	1508.9598	987.7967	753.1135999999999	1233.5777	1151.7265	857.2823	861.8543	2004.9447	1115.2778	990.7565	1019.3059000000001	709.4127	1001.6011	815.1271	1140.5093	484.90340000000003	583.0136	951.8955	775.9971	1380.3401000000001	733.5782	414.7423	316.4717	525.7044000000001	569.5266
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	0.0	0.0	0.0	0.0	0.0	0.0	4.8736	0.0	52.5916	5.8531	43.8028	0.0	4.6997	0.0	20.3791	0.0	26.0802	0.0	6.2443	0.0	35.2316	4.3921	0.0	0.0	18.0	0.0	15.0	0.0	21.0442	0.0	28.9122	0.0	0.0	0.0	0.0	23.0	0.0	0.0	9.5331	0.0
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	188.8564	497.0296	1044.2758	10.766	432.26239999999996	66.2131	614.8019	604.8824	706.899	1063.8868	534.6714	1273.9041	863.7653	488.869	308.3537	1207.2961	692.1013	678.0283000000001	1452.0733	1219.0793	630.5144	784.9765	1424.3379	1180.3254	696.8505	1269.1518	789.9188	798.1552	749.7816	1036.2933	683.2079	567.3283	607.3818	701.2909999999999	477.3821	519.7724999999999	435.1974	334.4285	235.8347	418.6439
K00041	tagaturonate reductase [EC:1.1.1.58]	0.0	0.0	11.1368	0.0	0.0	0.0	0.0	0.0	66.3414	0.0	54.8915	0.0	17.4575	0.0	88.632	0.0	73.1761	0.0	0.0	0.0	30.6439	0.0	0.0	0.0	27.9257	0.0	42.6034	0.0	20.2157	8.0533	58.0415	0.0	14.0	0.0	0.0	22.7312	0.0	0.0	34.3226	0.0
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	0.0	0.0	0.0	0.0	0.0	0.0	7.8289	0.0	11.6667	0.0	0.0	0.0	0.0	0.0	0.0	9.0991	11.9944	0.0	0.0	17.9299	0.0	0.0	0.0	0.0	17.4605	55.6356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0559	3.2723	0.0
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	0.0	0.0	0.0	0.0	0.0	21.7583	113.0787	0.0	0.0	499.8595	0.0	11.2654	0.0	281.76800000000003	0.0	131.7484	0.0	79.8004	0.0	138.51829999999998	0.0	76.62440000000001	0.0	170.87519999999998	0.0	605.6817	0.0	191.744	0.0	100.96260000000001	0.0	17.0358	0.0	110.40369999999999	0.0	0.0	213.46280000000002	29.799300000000002	0.0	44.0648
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	0.0	0.0	5.0	0.0	0.0	0.0	69.5358	0.0	68.4668	14.0	54.0	7.307	45.5529	0.0	83.6032	0.0	70.7264	6.0723	7.8632	33.865700000000004	15.3097	0.0	0.0	0.0	0.0	40.7463	55.7151	17.4752	11.301	11.2941	59.655100000000004	7.5907	7.7214	0.0	37.534800000000004	26.8408	0.0	7.0238	15.1517	49.207300000000004
K00048	lactaldehyde reductase [EC:1.1.1.77]	0.0	220.3458	98.0917	0.0	0.0	0.0	121.7319	47.2905	263.1973	332.1299	161.2274	204.5851	169.9929	104.8028	820.9408	83.8691	178.8637	149.5491	152.46859999999998	152.3371	186.3116	114.4488	104.7448	272.2908	188.197	112.83500000000001	361.4315	91.2928	135.6797	631.2764	116.89349999999999	9.423	116.8187	119.1741	106.25240000000001	162.3618	39.9887	81.202	72.3041	82.2574
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	199.5318	608.3206	955.0292	5.2528	419.8944	61.9691	572.7585	608.7975	1045.8859	1196.5193	634.0123	1169.1354	1281.1425	365.2374	1058.3297	528.595	1371.5123	519.3572	1372.6848	1358.7772	811.3104	876.4889000000001	1015.8649	869.0673999999999	1028.5428	1408.2493	1286.477	1227.0952	1238.3746	1099.6281	613.604	932.8795	718.4825000000001	926.7168	835.527	795.6642999999999	414.9575	349.6879	559.0014	457.061
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	181.05960000000002	659.2848	1000.1469	28.2818	162.88320000000002	78.27	800.2224	693.809	1447.9465	1355.9596999999999	856.6377	1380.1395	1193.3196	296.3522	2369.8164	1302.5166	1560.8036	621.8149999999999	1277.8182	1227.8864	1578.5821	802.5765	1338.208	1165.0123	1209.0975	1072.3128	1514.0275	1284.4117	1053.5514	1466.1906999999999	1008.0219	837.893	771.7899	806.1795	1053.9435	708.7099000000001	689.0679	348.5776	1198.2325	323.1463
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	66.4414	254.5324	653.9091	22.4054	232.1276	6.8667	315.2908	285.9961	312.8159	285.1832	130.6877	298.9312	421.5431	61.0295	500.52090000000004	165.8988	206.0815	168.3425	281.4532	358.2192	170.0214	147.7665	214.2545	100.8013	299.8359	171.2919	203.7816	325.7196	125.6919	409.45820000000003	182.9546	225.4344	89.5506	185.3161	240.9657	137.4828	50.1778	253.0573	395.7797	168.1884
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	270.9931	1033.5963	1478.167	66.1149	587.3873	58.7328	987.6712	1424.963	1561.3802	1588.0816	1839.6509	1651.3391	1830.7249	393.96569999999997	2574.8868	1287.1821	2060.527	752.3361	1857.9203	1944.9579	1634.5182	857.6443	2169.3181	1259.1118999999999	1630.5455	1123.5286	1911.4749	1620.6280000000002	1580.5648	1600.6308000000001	1328.5085	874.4335	1229.9679	988.5384	1373.0722	1050.9062	732.852	555.2934	1024.4066	699.848
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	196.6017	323.9015	118.761	9.3426	187.4712	29.337600000000002	394.8587	322.0871	955.8784	1175.5538	461.2922	497.6903	870.8368	217.3588	942.7125000000001	427.24199999999996	852.8326999999999	262.6337	436.6741	1027.4494	572.1224	687.8664	378.4409	586.3011	930.8307	501.3825	565.4855	428.3424	560.9788	773.5259	816.8804	570.9402	162.0497	86.4928	517.3102	604.5087	54.5668	180.6222	448.9971	327.6964
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	338.7907	1245.6117	1825.453	8.84	594.8296	41.7301	1136.789	1645.0072	1559.3058	1672.4135999999999	2048.7574	2305.8382	1952.2617	429.36560000000003	2397.9485	1639.8957	2055.2312	788.3475	2594.2612	2337.0509	1744.9259	1111.0096	2621.0224	1303.4589	1630.9425999999999	1874.8191	2101.6084	2080.6968	2131.6264	2690.4463	1121.3499	2151.5587	1662.1548	1082.2304000000001	1929.9236	865.1616	856.9852	891.4048	1392.8589	804.7941
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	0.0	18.1298	0.0	0.0	0.0	0.0	0.0	30.8385	44.0	0.0	0.0	0.0	167.9823	12.622	194.7766	0.0	53.2316	0.0	22.1074	84.9072	162.0	0.0	0.0	0.0	105.9963	124.8824	110.0	11.0	76.2101	0.0	54.0738	0.0	24.3735	4.4548	7.099	72.239	0.0	0.0	74.1494	0.0
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0.0	54.3721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.1486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.4173	0.0	15.9393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	71.7379	492.4724	727.655	23.2852	102.63449999999999	33.5216	432.70820000000003	600.3692	758.0676	540.5163	828.1591	815.1008	1165.1933999999999	127.78099999999999	697.5967	380.2473	844.6169	334.293	1036.0234	1032.206	816.323	310.008	1021.4930999999999	677.1449	964.0427	710.168	996.9709	882.3742	978.5891	1189.6825	602.1647	816.6418	863.2705000000001	356.3371	704.7229	398.5036	207.2328	448.4426	608.3151	330.87829999999997
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	9.0	35.1788	328.02389999999997	17.2672	0.0	39.2459	57.226	299.3935	611.164	116.66999999999999	186.5118	106.0815	162.15550000000002	53.1772	336.389	62.7842	395.7487	65.7948	173.3843	212.3621	189.8656	87.4077	176.1925	135.8499	449.8963	215.5147	264.38739999999996	63.9296	238.5347	116.6092	283.2491	196.9142	176.6107	125.46430000000001	73.3064	60.8309	20.2385	17.3759	80.7448	121.83959999999999
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8632	0.0	26.1252	0.0	5.9706	0.0	23.0	0.0	35.5162	0.0	5.6108	0.0	11.0	0.0	0.0	0.0	26.464	0.0	14.0	0.0	14.5741	0.0	12.7626	0.0	0.0	0.0	0.0	8.5033	0.0	0.0	14.5641	0.0
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	36.4167	72.2716	99.077	0.0	0.0	0.0	122.5151	28.3595	83.2501	25.746899999999997	153.2569	161.5827	94.687	0.0	150.8327	46.8335	273.1753	59.221700000000006	85.8731	141.3105	147.1437	29.23	18.9929	57.5719	180.1709	107.0805	128.6813	414.892	164.486	46.046	117.2769	311.3169	38.1567	77.5332	42.1635	44.2119	13.4764	77.43379999999999	32.674400000000006	35.131299999999996
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	258.7963	1627.4069	1612.3736000000001	48.6389	619.6182	107.8543	1179.6564	1731.2921	2238.125	1751.3617	2566.6240000000003	1665.352	2502.2635	506.64	3606.8125999999997	1980.6923	2579.3041	1053.6729	2138.0364	2254.871	1977.1784	1082.4826	1814.3744	1269.9612	2285.0763	1295.0669	2401.402	1476.4454	2586.5672	2202.7254	1836.4903	1208.3461	1200.9968999999999	890.0396	1287.5063	1218.6785	934.5712	651.5612	1390.2787	791.2559
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	0.0	0.0	25.1534	0.0	0.0	0.0	0.0	35.3169	58.1432	53.6907	37.5685	0.0	0.0	0.0	30.8124	5.3232	111.9645	0.0	15.4461	41.5	23.7567	7.8023	13.0	0.0	23.9062	0.0	73.701	0.0	0.0	9.3245	16.0228	0.0	14.0	0.0	0.0	14.7744	0.0	0.0	0.0	0.0
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	24.418000000000003	333.0747	559.6239	4.9347	26.813200000000002	15.1073	420.3854	106.3294	208.5124	1218.4632000000001	312.0072	371.39340000000004	295.6588	270.6073	708.8305	797.8227	285.7179	578.1478999999999	938.3269	797.3764	601.2194999999999	419.4087	158.2046	551.6753	477.60020000000003	981.2096	194.1273	371.7337	432.992	625.6629	117.1882	62.328199999999995	189.6455	318.4885	668.5768	152.5986	407.3846	243.15300000000002	258.5115	492.3638
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	12.3237	0.0	0.0	0.0	0.0	61.728	0.0	0.0	11.3384	17.422	0.0	0.0	16.0	11.289	0.0	0.0	0.0	17.0479	0.0	207.6658	0.0	0.0	0.0	53.3064	6.5996	401.3364	4.3669	67.7936	0.0	0.0	7.3821	187.69490000000002	0.0	16.8814	0.0	0.0	0.0	0.0	0.0	19.4965
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0.0	0.0	32.2667	0.0	0.0	0.0	0.0	0.0	27.2251	0.0	5.8599	0.0	21.810299999999998	0.0	37.8741	0.0	28.3919	0.0	7.8035	0.0	33.5734	0.0	9.0968	0.0	26.1872	0.0	24.085099999999997	0.0	0.0	0.0	0.0	0.0	27.3784	0.0	40.928399999999996	51.248400000000004	0.0	0.0	31.8656	0.0
K00088	IMP dehydrogenase [EC:1.1.1.205]	216.0113	1125.7467	1483.1213	24.145200000000003	335.1067	69.4922	685.6546999999999	1192.4853	1745.1667	1387.486	1733.0794	1384.9743	1654.8258	435.6817	2589.5206	1146.2001	1697.2655	757.9132999999999	1815.043	1827.7753	1564.2282	1058.1129	1618.0976	1329.4384	1801.0092	1544.6704	1887.4108	1432.0267000000001	1369.6758	1615.2837	774.1438	905.3714	1192.9018	869.8301	1144.9787999999999	1056.3988	229.9206	542.308	1180.7423	637.408
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	0.0	14.8912	4.6706	0.0	0.0	62.246	0.0	23.0	53.1366	70.2798	142.2503	4.3783	138.6216	243.5744	181.45420000000001	22.889499999999998	55.3823	52.1605	19.7699	160.1904	177.2378	12.591000000000001	0.0	91.8194	83.4407	921.0073	123.1396	136.42000000000002	93.6886	11.0	86.8275	167.49360000000001	24.7703	9.6871	30.970799999999997	33.6402	0.0	0.0	43.7399	15.2364
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	22.0	152.0	339.5874	6.2659	0.0	10.3464	134.0964	229.5969	14.0	119.46260000000001	68.1174	559.392	238.0	41.714800000000004	47.684	157.8712	0.0	67.40039999999999	529.2435	255.35670000000002	278.2745	58.2719	972.0758	391.59270000000004	162.0	333.7255	339.0	435.088	356.6077	696.5732	46.0	641.6531	459.1343	124.61359999999999	423.7881	30.0	26.3704	165.9443	0.0	169.9638
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	13.5224	0.0	0.0	0.0	4.9942	0.0	18.0	0.0	137.5507	0.0	22.0	0.0	0.0	0.0	3.8942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	177.862	899.0154	1158.7704	4.4409	269.0824	70.8798	751.361	1239.5974999999999	1507.0792	1092.6517	1765.4515000000001	1322.8135	1846.4089	402.5585	2195.4054	1236.3525	1868.9249	597.0864	1567.3323	1456.4357	1537.7487	806.3193	1799.8155	1039.6296	1463.9831000000001	1481.368	1768.3453	1128.9766	1631.046	1609.744	1238.4714999999999	722.5988	1125.9591	767.1892	1320.9631	946.3692	311.2224	443.5978	942.4514	461.5536
K00100	butanol dehydrogenase [EC:1.1.1.-]	0.0	32.0661	13.6128	0.0	0.0	0.0	0.0	13.4744	37.9957	0.0	9.1821	29.1713	58.0807	0.0	45.2931	0.0	31.3497	0.0	15.358	0.0	0.0	0.0	0.0	0.0	46.1033	0.0	64.2651	61.0	11.3376	24.9084	39.0094	33.5556	35.229699999999994	0.0	0.0	23.406	0.0	8.3825	47.7581	22.6565
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	33.8706	123.8953	449.09709999999995	0.0	0.0	58.5164	371.2244	116.2677	0.0	966.9913	13.1542	671.0425	202.2849	319.8195	69.0904	400.31559999999996	16.9492	375.9153	813.5455999999999	772.2476	275.7241	607.5691	708.134	797.3139	128.0	1166.7192	243.7008	708.1824	242.0014	741.19	44.2284	572.7071000000001	370.6547	297.9779	277.5961	31.176599999999997	554.6192	133.148	13.5343	312.64639999999997
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	8.6311	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	56.7528	0.0	0.0	0.0	21.0	0.0	0.0	0.0	48.583	0.0	9.0548	0.0	32.3361	0.0	73.0	0.0	391.82500000000005	0.0	0.0	0.0	263.7735	0.0	31.7407	0.0	0.0	0.0	60.8226	0.0	21.0648
K00104	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	0.0	0.0	0.0	0.0	0.0	0.0	34.5629	0.0	29.2516	102.4307	34.4783	66.5412	0.0	0.0	24.9701	25.0	50.684000000000005	35.8075	0.0	178.23420000000002	53.8451	17.981099999999998	0.0	140.34120000000001	25.1677	77.0	23.3431	445.2849	13.6397	309.4232	0.0	422.6351	0.0	55.047799999999995	0.0	18.0	13.4641	79.78960000000001	0.0	9.0208
K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	42.8923	17.9418	81.803	0.0	265.6776	0.0	15.6278	47.6694	18.8019	49.321799999999996	0.0	194.0192	48.202	10.4768	52.6409	0.0	0.0	49.5753	0.0	0.0	0.0	26.4943	0.0	65.9962	6.2956	50.3096	0.0	201.8414	0.0	0.0	0.0	33.5158	8.6398	113.2803	10.0175	12.8582	0.0	0.0	0.0	0.0
K00108	choline dehydrogenase [EC:1.1.99.1]	6.7622	0.0	0.0	0.0	0.0	7.945	79.7313	0.0	0.0	23.9252	0.0	71.1133	0.0	21.1718	0.0	77.0	0.0	22.9433	0.0	44.6346	0.0	37.0	0.0	112.479	0.0	60.3138	0.0	462.3619	0.0	147.71359999999999	0.0	353.204	0.0	41.0783	0.0	0.0	100.1287	45.4781	0.0	29.232
