KO_ID	KO_function	SRS016474	SRS016529	SRS016569	SRS016575	SRS016647	SRS016665	SRS016740	SRS016746	SRS016815	SRS016858	SRS016876	SRS016969	SRS017007	SRS017025	SRS017076	SRS017088	SRS017120	SRS017139	SRS017209	SRS017227	SRS017279	SRS017304	SRS017324	SRS017330	SRS1041125
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	499.7792	2409.9085999999998	1413.8738	574.7416	567.2255	544.8018	470.5635	933.7973	1840.7457	611.703	218.7299	2550.941	2814.2027	735.1466	657.7833999999999	215.238	1105.1615	1460.2966999999999	787.9432	904.9361	543.75	809.5624	433.5443	523.7507	160.4105
K00041	tagaturonate reductase [EC:1.1.1.58]	8.8318	0.0	35.6851	9.6923	0.0	6.9062	6.6456	15.405899999999999	30.4298	5.6727	14.5953	26.581	36.1932	0.0	8.3724	0.0	44.6008	14.1074	52.8498	27.575499999999998	0.0	24.0	14.6829	0.0	0.0
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	33.4158	0.0	0.0	22.4495	0.0	0.0	0.0	6.9234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.7288	5.3435	81.34640000000002	0.0	22.0	0.0	0.0	0.0
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	126.1285	0.0	0.0	29.7979	0.0	34.4458	0.0	67.2723	0.0	0.0	27.3551	0.0	0.0	60.841499999999996	0.0	0.0	0.0	55.91629999999999	0.0	196.123	0.0	86.1664	0.0	108.8366	0.0
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	7.8371	4.406	105.898	33.9162	0.0	15.348500000000001	41.8047	26.5038	62.174099999999996	4.5734	18.7077	85.88319999999999	23.051	0.0	39.2836	0.0	98.0292	63.9477	7.546	150.9753	0.0	33.9092	27.9391	0.0	0.0
K00048	lactaldehyde reductase [EC:1.1.1.77]	134.3115	351.6197	368.7804	232.46859999999998	45.9904	142.8265	270.8523	215.76559999999998	453.9849	5.7615	102.7054	1572.7202	328.8102	183.06330000000003	402.7939	0.0	433.8789	347.0404	272.0261	171.1744	74.8485	249.6111	174.978	113.83109999999999	60.1519
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	526.9913	2161.5674	1544.5021	754.7751000000001	712.2358	570.8935	869.2712	896.2816	1895.2411	493.73740000000004	495.1935	3873.063	2724.0474	812.1412	987.142	263.4543	1621.9918	1217.663	867.4406	1124.1529	571.101	1130.1846	589.0877	404.0236	192.95420000000001
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	531.9639	1609.9294	1288.3311999999999	879.4091	749.7375	606.9984000000001	1044.2479	1188.4261	2015.8688	817.4075	413.5124	2645.6935	3271.2427	853.7741	1160.3997	495.13239999999996	2395.3986	1775.1329	1790.9134	1256.2013	638.1794	1021.2851	779.9013	460.447	204.0395
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	141.3741	1271.4639	635.4927	502.2847	281.5233	201.1636	165.43540000000002	267.8625	455.2795	253.9532	245.6831	865.3164	1037.4957	352.6819	377.0592	373.2513	841.3659	593.2328	355.1764	361.8822	136.0591	259.7397	166.197	28.1804	27.2305
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	755.6141	2640.0386	2880.7679	1355.3709	926.1295	767.7525	1143.4118	1620.1093	3351.4031	922.256	679.1788	5685.6111	4806.1357	955.1953	1603.2852	386.3296	2781.3046	2740.5562	2479.5413	2110.2706	892.5357	1077.8937	1145.0116	579.9741	113.36449999999999
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	280.9977	1149.4708	727.9333	864.8739	233.3829	413.0955	408.4371	821.9746	1082.1483	465.7827	478.7043	1399.6341	708.5823	390.8755	296.3431	5.978	679.3607	1158.5848	558.868	861.976	206.1697	467.58680000000004	337.7703	225.726	12.0
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	936.3711	2515.8534	3913.9196	2055.3337	1006.6774	872.9947	1620.2555	1790.155	3982.6504	657.2493	1019.0471	8813.4338	6941.9982	1171.9515000000001	1231.444	297.4121	2902.0294	3401.0865	4738.0963	3128.3088	745.4059	1359.7972	1253.0551	791.7172	227.0702
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	25.3393	0.0	81.2241	12.9795	0.0	28.0	25.9888	21.886	339.3156	64.084	11.6278	95.0	13.1382	0.0	8.4818	0.0	218.902	81.84469999999999	7.6106	105.695	0.0	0.0	14.0	0.0	0.0
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.2739	0.0	0.0	0.0	239.5504	263.5814	0.0	0.0	0.0	0.0	0.0	279.1718	38.364000000000004	0.0	13.0	0.0	0.0	0.0
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	327.6591	1328.8975	1587.7409	996.3306	220.0599	425.919	634.9145	634.2383	1421.372	236.22910000000002	547.1054	3349.0338	2681.1299	372.5021	989.0930000000001	232.8275	1116.8561	1333.9383	1554.6001	1305.9532	205.9533	409.5559	552.5855	31.837400000000002	24.271300000000004
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	126.14229999999999	93.7204	472.2971	167.5293	214.7972	114.4214	124.0882	100.8069	306.9143	366.1895	94.4733	316.28749999999997	319.9957	45.3362	31.131	0.0	498.9065	390.5256	35.0398	73.7577	189.1251	294.5648	61.346	27.2409	27.367
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	0.0	0.0	35.0	19.0777	0.0	0.0	5.622	0.0	38.9079	0.0	0.0	40.2603	0.0	0.0	0.0	0.0	9.397	0.0	0.0	14.0178	0.0	0.0	11.5568	0.0	0.0
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	47.856	23.9167	376.8302	34.2511	108.71849999999999	103.49629999999999	80.6099	100.3265	250.3644	22.2709	64.6512	777.1453	586.9452	34.5258	17.1587	0.0	243.8922	134.0446	262.0768	352.0011	78.5038	67.2019	87.5795	12.8381	0.0
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	1057.9403	2923.7533	3192.5656	1947.0734	1331.3219	1178.8691	1801.4431	1874.5551	5066.8991	1242.0702	1117.8868	7053.0665	5087.4785999999995	804.1536	2038.2749000000001	347.0061	2746.7102	2898.9728	3356.7342	2795.0801	740.8943	1161.7830000000001	1197.3854	450.0989	200.4779
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	31.0	0.0	27.744	48.0204	11.493	14.5019	18.5374	14.223	216.7774	14.0	9.0	123.1006	17.7022	0.0	38.5323	0.0	24.1952	35.4981	24.0	77.0164	13.9696	0.0	0.0	0.0	0.0
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	479.3747	374.10089999999997	567.3729999999999	379.5009	185.7485	297.118	206.2314	643.4229	824.8589	138.6934	197.7813	1683.8619	676.0914	233.43400000000003	1020.6662	0.0	628.5787	716.3832	372.932	408.1366	171.6018	392.3295	146.4247	132.7926	291.3381
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	53.0515	0.0	0.0	54.6627	0.0	101.4937	11.998	13.4063	7.8526	0.0	106.7245	0.0	0.0	0.0	0.0	0.0	0.0	109.3611	0.0	63.22880000000001	0.0	198.9429	0.0	0.0	0.0
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0.0	0.0	26.887099999999997	7.2806	0.0	0.0	58.210499999999996	15.1918	60.1916	0.0	10.1449	149.959	33.459	0.0	0.0	0.0	17.7177	22.7627	74.00959999999999	24.4247	0.0	25.5445	0.0	0.0	0.0
K00088	IMP dehydrogenase [EC:1.1.1.205]	692.6526	2799.1593	3122.2342	1739.8065	1071.113	774.4156	1403.6358	1712.5768	3132.8714	1017.8438	745.2704	4915.9355	3936.4577	878.5508	1651.5235	116.7641	3528.8248	2330.167	1556.1262	2240.87	904.2492	1141.5877	984.2547999999999	492.229	157.19670000000002
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	21.5181	19.021	145.7599	68.9297	32.1464	115.1634	19.7065	11.873000000000001	319.4848	33.0	136.6533	124.6325	0.0	7.0888	11.0281	0.0	125.0844	82.8848	14.8655	277.442	0.0	155.9493	87.2497	0.0	0.0
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	71.9202	0.0	162.5035	163.4855	0.0	133.2237	76.3403	46.2405	458.59680000000003	0.0	44.4153	679.2937000000001	1645.407	92.9102	20.3273	18.3772	206.6034	370.67549999999994	775.0737	285.6832	110.1104	120.2696	9.2925	0.0	0.0
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.1365	8.1927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.8538	0.0	0.0	0.0	0.0	0.0
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	568.2536	2169.6485000000002	2546.313	934.3618	887.3158	622.5418	1030.7996	1400.238	3451.7813	830.5153	428.4803	4924.8841	4026.6156	465.6902	817.1708	24.3377	1875.9577	1947.7709	2058.014	1361.7255	576.9882	800.5466	1089.1645	508.95640000000003	138.9602
K00100	butanol dehydrogenase [EC:1.1.1.-]	6.9308	0.0	174.1756	0.0	0.0	14.6274	32.1597	23.4726	67.52759999999999	8.3504	0.0	206.8068	120.066	12.8651	9.3085	0.0	72.3105	24.3453	95.86659999999999	60.80459999999999	0.0	0.0	17.953200000000002	0.0	0.0
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	218.0103	413.8507	105.7498	465.5362	29.8531	369.368	53.6582	697.3831	482.98850000000004	43.0637	238.52450000000002	588.9976999999999	1828.6304	291.4431	12.9661	0.0	213.94389999999999	905.8381	587.0512	706.2206	100.7153	603.2802	50.3059	6.6053	138.9641
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	19.0	0.0	0.0	17.8463	0.0	21.0	0.0	0.0	8.0299	0.0	28.9448	0.0	0.0	30.7229	0.0	0.0	0.0	100.7538	0.0	123.5961	0.0	63.009100000000004	0.0	0.0	0.0
K00104	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	77.5752	0.0	0.0	69.6201	0.0	31.032	0.0	26.0369	29.4278	6.5231	72.58250000000001	110.2096	0.0	9.7874	0.0	0.0	0.0	71.7908	25.9371	384.7995	0.0	93.5429	11.7456	0.0	0.0
K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	40.8807	119.8238	84.145	57.5599	0.0	13.1708	35.5736	71.7455	18.225	0.0	0.0	10.7986	85.554	41.3273	0.0	71.0246	15.1872	0.0	9.6064	0.0	19.3891	107.5331	128.00220000000002	14.2178	26.3796
K00108	choline dehydrogenase [EC:1.1.99.1]	43.716	0.0	0.0	0.0	0.0	37.8049	0.0	28.0	0.0	0.0	12.9543	0.0	0.0	100.57509999999999	0.0	0.0	0.0	157.43290000000002	0.0	279.2101	0.0	47.8616	0.0	12.3016	0.0
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	280.6093	1826.1340999999998	1384.009	458.7483	550.6496	438.8779	470.4158	722.9965	1526.5756	495.70239999999995	259.6932	2022.1877	500.3447	508.8015	390.75649999999996	0.0	577.7441	978.4526000000001	295.6314	922.513	241.00639999999999	814.2736	288.207	509.0769	249.2772
K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	34.9352	789.9264000000001	652.5208	90.2107	265.4919	56.635000000000005	273.4971	225.3494	1395.4756	444.4346	51.5198	802.1449	849.5044	281.6687	90.4808	7.9867	644.3013	173.3662	733.3626	147.5014	245.7677	96.4721	312.396	14.1781	14.8899
K00113	glycerol-3-phosphate dehydrogenase subunit C	5.5592	757.9947	678.809	77.7253	250.8979	55.6623	220.74699999999999	145.6817	1201.5279	328.6503	39.2858	614.7488	674.4689	265.4831	76.7114	12.4418	525.3623	159.7451	196.3327	123.8253	227.4573	92.4426	410.7945	5.3635	16.4804
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	169.3635	127.9501	562.5735	279.1681	270.8707	301.1284	148.8408	815.7738	595.295	143.0385	177.4074	757.8485000000001	1678.3083000000001	166.5872	255.84449999999998	23.752599999999997	573.1158	958.854	346.9722	380.0789	197.914	365.19370000000004	22.2374	307.0566	69.0
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	52.0771	899.3281	391.80920000000003	60.720299999999995	0.0	89.9348	104.1161	11.2788	171.1408	59.0	72.8845	982.3746	902.4539000000001	33.9686	15.8531	0.0	131.4495	340.9429	795.628	407.90160000000003	67.3017	0.0	58.1073	0.0	14.1715
K00124	formate dehydrogenase iron-sulfur subunit	111.1317	1589.238	297.6797	285.7824	91.7311	161.5341	329.42510000000004	433.9393	590.1915	150.9184	27.412699999999997	417.64779999999996	472.3272	546.3532	61.6647	18.9143	94.8312	542.0930000000001	818.2001	451.3173	168.1308	329.8672	165.23180000000002	16.8991	22.1015
K00125	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	6.5606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7795	0.0	0.0	0.0	0.0	0.0
K00127	formate dehydrogenase subunit gamma	190.1396	6.1217	312.2078	260.6857	100.6674	121.72049999999999	167.67719999999997	289.1294	385.1574	90.788	73.2039	774.8356	602.1838	284.79449999999997	31.1871	13.4142	151.6779	420.8107	476.35810000000004	396.9523	77.1329	188.942	189.0969	12.9323	6.4107
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0.0	22.7236	342.4412	69.3503	45.0432	102.8389	194.79880000000003	74.3366	306.8656	7.0	0.0	680.9519	768.9715	0.0	18.1429	0.0	11.2963	11.7185	509.4642	43.9361	63.420500000000004	0.0	12.9865	0.0	0.0
K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	23.6578	0.0	0.0	0.0	0.0	38.5181	0.0	0.0	9.878	0.0	13.0	0.0	0.0	66.0273	0.0	0.0	0.0	143.2488	0.0	103.5446	0.0	81.6394	0.0	0.0	0.0
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	56.9077	191.1398	105.35589999999999	457.8632	10.1667	179.3023	134.0566	203.1654	266.23449999999997	64.7395	261.0791	421.3008	336.226	49.9421	311.5647	206.20710000000003	424.9155	463.7403	228.9525	505.6788	58.9442	246.0209	17.8326	26.182499999999997	10.1488
K00132	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	76.3778	207.7471	210.2889	184.2783	24.0	128.2259	28.9772	119.6437	78.5448	0.0	60.04880000000001	363.633	508.9441	93.9662	124.1939	0.0	241.7412	205.0667	262.9858	108.1017	43.4187	86.5162	48.956	13.0	15.3327
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	863.8115	2805.9249	2536.1116	1573.5243	900.7471	833.0047	1510.6763	1592.7217	3876.291	934.0036	833.4281	4901.7427	4010.4204	764.9862	1606.5395	428.36220000000003	2711.819	2782.2201	2486.7711	2031.2817	797.6584	1225.68	1098.3123	562.0111999999999	141.1917
K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	621.7836	1733.2184	3001.216	1921.8586	833.8498	1132.1105	1233.0183	1677.4114	3161.3489	404.3802	800.0394	5735.296	5745.2394	1027.1389	1098.076	157.9018	2194.3621000000003	2827.9007	2800.1039	2116.3377	696.955	1153.7135	754.7051	636.9856	237.4492
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	313.1986	218.4745	535.2816	358.8407	357.7357	390.7215	109.6164	861.3333	563.7334	0.0	185.4957	608.9393	1430.2881	326.2804	132.2009	14.35	741.7029	670.676	0.0	622.5272	86.3939	645.2083	29.4231	472.86929999999995	139.999
K00138	aldehyde dehydrogenase [EC:1.2.1.-]	17.4181	0.0	0.0	0.0	0.0	9.2067	0.0	28.0	0.0	0.0	0.0	0.0	0.0	23.0171	0.0	0.0	0.0	20.2189	0.0	16.7968	0.0	0.0	0.0	16.3603	0.0
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	121.4282	17.1244	477.988	56.176399999999994	46.3856	97.4356	73.7761	21.6146	634.8439999999999	104.2161	10.0454	246.4128	653.8989	299.1186	11.341	0.0	303.4295	148.8394	328.461	166.7098	123.4494	123.8277	112.7679	31.9756	0.0
K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	400.2715	518.6119	1141.9509	616.2562	113.7409	465.2869	264.3453	514.4997	1005.1948	144.3957	462.3646	970.6143999999999	1257.9885	407.7097	531.1092	32.4651	997.6903	1500.0824	709.5985999999999	1017.4308	314.687	778.8911	101.4919	183.6222	154.4116
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	489.9064	714.6159	1483.539	747.5641	334.5149	406.1542	582.4595	1062.0877	1793.2653	496.6701	426.1651	2022.3008	2177.6946000000003	712.1399	705.7085999999999	288.4404	1279.1881	1616.7708	991.7403	871.6415	456.5729	776.6851	580.5669	137.2132	30.2497
K00153	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	46.8528	168.8599	159.3727	10.3205	186.228	67.34129999999999	24.978	224.9322	104.2903	114.6026	22.3574	39.4277	99.4945	47.4918	32.033	0.0	165.3452	52.9636	0.0	26.385	83.9405	146.1947	35.2015	308.554	69.0
K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	43.1101	574.694	246.2902	65.93520000000001	293.0573	37.825599999999994	112.1156	24.6265	906.4551	448.9765	17.7108	473.6341	176.0605	17.0755	308.1583	8.1084	498.1549	125.83120000000001	43.6618	111.1923	188.148	61.1934	183.5657	0.0	59.7275
K00158	pyruvate oxidase [EC:1.2.3.3]	18.0901	0.0	0.0	24.6436	0.0	33.8241	0.0	0.0	130.3711	0.0	0.0	69.5912	0.0	0.0	0.0	0.0	419.9127	0.0	0.0	0.0	0.0	0.0	0.0	41.7511	0.0
K00161	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	36.1031	0.0	0.0	259.019	0.0	100.72970000000001	0.0	161.3764	15.2072	0.0	168.3083	281.1671	167.0	13.7308	0.0	0.0	0.0	375.93690000000004	163.6016	445.953	0.0	28.9369	0.0	0.0	0.0
K00162	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	45.2914	0.0	0.0	387.2925	0.0	130.7397	0.0	245.6513	25.3998	0.0	292.0286	339.1298	208.0992	23.501	0.0	0.0	0.0	277.231	216.1861	322.9601	0.0	18.1012	0.0	0.0	0.0
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	451.90319999999997	1044.8705	1013.7125	590.6427	339.2726	423.67040000000003	321.5801	779.4372	935.8478	647.923	293.9615	1273.0418	2083.3950999999997	704.9644	202.5029	27.7436	1063.4497999999999	1134.2522	709.7947	1110.6396	373.4008	872.8457	316.6266	578.1558	83.276
