KO_ID	KO_function	SRS018591	SRS018602	SRS018610	SRS018616	SRS018665	SRS018679	SRS018691	SRS018739	SRS018778	SRS018791	SRS018820	SRS018826	SRS018875	SRS018923	SRS018929	SRS019170	SRS019176	SRS019219	SRS019225	SRS019270	SRS019276	SRS019327	SRS019333	SRS019387	SRS019389	SRS019437	SRS019443	SRS019488	SRS019494	SRS019591	SRS019607	SRS019696	SRS019792	SRS019798	SRS019974	SRS019980	SRS020220	SRS020226	SRS020277	SRS020283	SRS020334	SRS020340	SRS020400	SRS020406	SRS020540	SRS020571	SRS020628	SRS020856	SRS042589	SRS042643	SRS043454	SRS043755	SRS049389	SRS051244	SRS052095	SRS053630	SRS053854	SRS054653	SRS056323	SRS057539	SRS058808
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	725.6754	621.2223	615.2113999999999	867.7958	443.5673	945.2336	528.7923	658.2022	518.5656	1160.1621	459.0786	385.6008	438.9447	1354.8356	614.1012000000001	152.7155	448.7466	692.3733	299.09430000000003	285.5459	173.405	634.8301	320.96590000000003	696.0512	596.9334	182.3574	64.8781	352.2588	472.0258	709.3257	746.8024	404.9228	583.6597	419.7374	652.4385	802.4058	872.5019	628.3762	122.7076	32.4108	832.6667	1328.7592	599.5351	407.0632	276.884	523.4686	1677.0334999999998	530.1274999999999	1108.6317999999999	1055.5163	367.5982	589.4997	515.098	373.575	279.1798	1914.7541	1235.8209	1320.8007	1212.2942	1000.3817	451.69550000000004
K00018	glycerate dehydrogenase [EC:1.1.1.29]	1055.3012	420.7023	403.013	522.6768	882.2065	1067.374	205.41019999999997	913.8677	61.8738	1756.0766	717.3481	1235.819	436.353	1442.817	75.9424	157.8602	43.7049	1006.13	138.1421	333.0596	209.1581	1237.8115	188.8536	140.204	2094.8252	769.4087	13.3554	1023.3813	288.0847	1109.7438	1828.0216	767.919	1268.0972	232.1739	762.593	844.7452	1004.7973999999999	1085.299	225.6266	27.7939	596.8424	373.7915	170.5691	243.4749	708.1401	997.6163	2068.8626	1779.7171	640.3897	1459.5983999999999	845.4307	226.4702	1190.4483	250.6963	79.0789	187.6663	1070.3690000000001	183.77949999999998	446.4592	629.4067	705.6312
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	59.012	121.56729999999999	89.53110000000001	206.9927	275.22429999999997	0.0	41.4303	0.0	12.2451	0.0	53.412499999999994	175.5901	11.1715	53.1067	0.0	10.4604	15.1052	80.4932	106.8329	94.1451	93.2928	24.4724	50.0118	56.9653	227.655	162.403	15.5699	45.0	106.9941	86.0397	196.3948	14.4358	0.0	66.1764	13.315	67.94260000000001	9.8597	453.0694	46.6271	0.0	176.3693	117.86	16.458	42.961200000000005	32.0	64.876	337.8537	332.9963	14.783	0.0	52.2392	127.9071	55.6463	80.6778	24.4919	43.0417	0.0	159.0685	330.8897	270.4356	167.1225
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	59.4699	0.0	13.4801	276.6696	52.3083	0.0	11.7532	17.1218	0.0	26.3823	124.7372	23.153	21.8646	30.3709	7.8808	0.0	0.0	17.759999999999998	0.0	64.2719	0.0	18.1638	20.565	10.4425	64.2002	21.1809	0.0	0.0	0.0	55.0743	0.0	19.9875	0.0	0.0	71.6075	72.1195	55.0967	43.1344	0.0	0.0	32.160399999999996	32.1149	29.7418	33.0	13.4243	29.3379	126.83500000000001	31.1786	29.023899999999998	0.0	16.8817	8.9759	21.4218	8.3492	0.0	0.0	93.01939999999999	0.0	91.785	44.2935	0.0
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	0.0	0.0	11.0	12.6991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7202	0.0	3.6638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.7883	0.0	0.0	0.0	0.0	5.1514	0.0	15.958	0.0	52.0162	0.0	0.0	0.0	5.0498	0.0	7.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2617	3.3879	0.0	0.0	0.0	0.0	0.0	40.2168
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	0.0	13.7033	0.0	274.9377	16.5501	0.0	23.0	0.0	0.0	0.0	0.0	35.225	0.0	0.0	7.832	0.0	0.0	0.0	13.4092	0.0	0.0	0.0	16.248	0.0	0.0	0.0	0.0	0.0	11.2832	0.0	0.0	0.0	0.0	0.0	0.0	69.5176	0.0	123.4241	0.0	0.0	0.0	7.9431	0.0	32.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3049	0.0	0.0	0.0	26.8266	0.0	0.0	6.565
K00024	malate dehydrogenase [EC:1.1.1.37]	300.30129999999997	477.3442	478.8546	796.7567	937.086	394.501	254.3467	124.4514	496.0497	91.77369999999999	86.154	439.5874	413.09499999999997	591.7597	93.0974	27.0	320.7805	210.5222	263.7487	18.6172	260.2361	247.6902	194.6565	87.5514	870.5024000000001	601.9422	43.8805	266.04110000000003	521.7901	257.64529999999996	651.9048	66.0	99.9182	376.2891	117.9857	637.33	59.0	860.5174	129.0719	29.7551	145.1101	902.8143	101.5606	469.3026	79.8949	218.56990000000002	1252.8307	45.5034	185.6758	78.9393	124.09559999999999	289.5657	230.3363	452.5388	222.0351	725.2283	107.43700000000001	992.2153000000001	115.1687	269.68690000000004	451.28970000000004
K00026	malate dehydrogenase [EC:1.1.1.37]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	914.7	88.0014	537.1234000000001	0.0	142.1476	857.3349	0.0	492.4499	0.0	138.01420000000002	204.43619999999999	65.946	369.39779999999996	826.0568	0.0	199.12199999999999	0.0	497.925	16.6996	119.17349999999999	37.8468	232.94979999999998	23.9993	0.0	172.7794	33.6816	0.0	385.5014	0.0	123.5315	299.3436	251.0148	519.746	62.9456	130.71550000000002	113.13799999999999	254.38819999999998	59.036500000000004	26.5049	0.0	256.799	0.0	113.5036	0.0	154.1047	207.6713	481.77889999999996	138.5126	896.5352	358.4628	139.8912	0.0	196.89999999999998	3.2208	13.701999999999998	0.0	246.57819999999998	357.0365	428.9371	683.5443	95.7005
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	810.0268	544.892	320.2615	889.1545	996.4149	370.4199	164.0037	766.2923	75.3098	1390.5935	673.7488999999999	1031.6681	612.3829	963.7927	144.9802	118.8213	65.9298	719.8937	167.6232	430.2113	314.958	1009.0069	281.812	212.951	1715.1328999999998	1037.3018	54.78	884.985	843.7284999999999	1169.1346	1385.411	433.1534	372.8135	370.1391	947.8542	731.2607	631.2459	1113.5741	205.85580000000002	67.1594	225.0048	226.66600000000003	160.5778	330.15070000000003	764.6181	557.7059	2487.9088	1651.7752	845.8974000000001	1067.271	551.109	387.2958	1943.529	221.4778	92.8846	171.4134	881.3943	1091.948	740.8851999999999	693.0044	678.5971
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	176.2623	0.0	82.5539	4.9244	82.6677	150.1436	9.497	174.22220000000002	0.0	230.30180000000001	64.7319	42.0309	27.532600000000002	47.605900000000005	0.0	12.1486	0.0	185.1972	0.0	9.0663	22.374299999999998	48.7954	0.0	0.0	36.8463	46.0388	0.0	52.6911	0.0	12.0	48.3326	178.8992	94.8629	5.1906	8.992	33.041700000000006	59.0	173.6132	0.0	0.0	19.6455	15.6238	0.0	0.0	12.0056	23.1047	70.9319	10.9481	71.3251	517.5889999999999	15.8515	0.0	81.1596	34.1807	0.0	0.0	69.9077	0.0	17.2692	221.8925	53.825900000000004
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	357.8885	219.3318	78.8435	261.7057	92.2208	126.1373	161.19590000000002	172.5474	17.2072	79.8273	83.82000000000001	184.4594	43.4105	147.8975	44.0261	20.1097	35.518299999999996	99.2171	72.1691	13.181999999999999	30.2915	146.36360000000002	145.2215	67.9932	272.0575	19.321199999999997	0.0	30.3107	132.7721	136.1019	140.2069	64.9937	72.5043	47.7678	150.5813	64.7702	466.2473	183.88889999999998	0.0	9.7157	234.76690000000002	160.4039	85.8376	87.6129	15.950800000000001	23.6542	113.5735	122.8031	100.3913	67.7086	68.7723	30.7362	21.5121	39.2636	3.2276	206.0569	51.7366	79.9824	28.927599999999998	97.8004	112.0123
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	733.6600999999999	912.9537	784.8405	798.3311	1374.3256000000001	773.891	562.3976	514.3051	925.776	1096.283	517.2048	716.387	725.4797000000001	1595.9899	417.6727	145.4013	545.8968	722.1602	314.7281	536.7534	462.7681	1601.6026000000002	566.8691	884.4681	1928.4386	832.65	78.1543	1139.845	800.7613	1518.3883	1728.5812	258.0195	322.509	500.3571	1499.8138	1312.4353	788.2284	1184.9404	308.30449999999996	27.0171	394.0948	1496.2309	779.1129	527.1632	538.6120999999999	1243.7522	2693.8953	1257.1667	1333.1553000000001	372.3762	711.8189	415.5233	1729.1158	509.865	310.173	2128.9362	619.5331	2129.5874	1062.1566	713.4942	720.3892
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	34.1361	0.0	6.7188	0.0	0.0	39.5471	0.0	32.2074	0.0	159.9186	50.0	0.0	9.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	11.7152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	20.0929	0.0	8.7087	0.0	52.645	0.0	0.0	0.0	14.159	0.0	10.9822	0.0	0.0	0.0	0.0	0.0	10.7506	21.2672	0.0	0.0	0.0	0.0	0.0	0.0	43.3092	0.0	25.2634	0.0	0.0
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	580.5912	698.6263	478.33320000000003	715.9920000000001	1161.4938	618.3293	429.3446	468.92289999999997	1628.106	783.2619	288.4722	648.3333	495.1962	1049.2144	816.39	122.2902	382.7793	289.0	331.9966	315.0562	439.9439	1104.0761	606.1855	523.2396	1500.6463	497.7301	60.8695	1024.6119	647.0869	1734.7485	1145.3963	275.9447	155.4108	314.3895	516.1093000000001	926.7196	378.4798	998.6021	176.6928	21.7516	426.18089999999995	1335.1587	494.9445	597.4774	348.1905	1035.1202	2843.1077	1059.8493	1132.7212	147.46959999999999	751.5733	567.1193999999999	1410.8212	608.0847	264.9046	2161.7767	547.7234	1841.7082	619.6107999999999	640.4297	614.5657
K00041	tagaturonate reductase [EC:1.1.1.58]	101.5471	0.0	27.7117	0.0	4.4308	62.9357	0.0	84.0124	0.0	34.8751	48.24	23.6749	4.8001	19.0	0.0	0.0	0.0	53.8542	0.0	10.0317	6.5038	22.2185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.4359	18.1925	42.2115	0.0	14.2087	14.7416	25.8228	0.0	0.0	0.0	25.7126	0.0	0.0	0.0	0.0	6.6491	26.529400000000003	26.2699	16.4379	51.7523	9.0	0.0	0.0	0.0	0.0	0.0	46.1343	0.0	39.5854	45.2219	0.0
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	0.0	3.9754	25.0	0.0	0.0	196.5396	0.0	4.7547	0.0	0.0	0.0	22.0794	0.0	20.0	0.0	0.0	11.1435	27.2621	0.0	0.0	36.64	7.0	0.0	0.0	4.678	0.0	0.0	0.0	0.0	0.0	0.0	27.8354	0.0	0.0	0.0	0.0	3.1887	30.6351	0.0	6.7844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.8097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	0.0	180.6046	0.0	142.769	225.3617	0.0	74.4319	0.0	388.4232	0.0	0.0	59.1523	0.0	0.0	15.9192	0.0	17.0767	0.0	54.497	0.0	49.9072	0.0	124.6108	158.239	0.0	0.0	0.0	0.0	67.0642	66.6456	0.0	0.0	0.0	105.0301	0.0	68.7486	0.0	36.5315	0.0	0.0	0.0	0.0	0.0	128.4822	0.0	0.0	0.0	0.0	0.0	0.0	31.6426	44.2675	0.0	141.51069999999999	26.5791	690.1209	0.0	663.4281	0.0	0.0	59.9404
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	92.393	12.1013	31.9361	9.0	41.9073	118.5734	0.0	62.4803	0.0	86.5647	58.2268	81.49029999999999	32.2451	47.0	0.0	0.0	0.0	68.6567	0.0	10.7674	0.0	65.7139	0.0	51.1029	43.4899	8.5572	15.8137	10.4179	17.5635	18.0	59.347	10.0037	156.21370000000002	3.6717	61.6315	35.0189	70.72640000000001	47.47	0.0	11.075299999999999	28.143	55.0692	0.0	0.0	0.0	13.602699999999999	51.1244	76.08709999999999	24.9191	85.8805	15.0	0.0	32.8251	0.0	0.0	25.5784	33.6383	0.0	34.4116	60.708999999999996	29.9055
K00048	lactaldehyde reductase [EC:1.1.1.77]	437.56419999999997	113.2372	156.29549999999998	126.0	106.0295	275.0151	203.28300000000002	502.4438	118.7821	452.45310000000006	159.1713	392.822	171.2395	597.6451	97.7239	60.641	103.2423	176.7823	12.6432	217.09380000000002	216.8356	346.7251	158.0665	184.9728	160.882	35.275800000000004	0.0	325.6247	191.338	560.4442	245.3431	363.89799999999997	446.5211	47.9548	383.8603	108.7404	259.1334	176.8222	0.0	0.0	88.7268	215.0087	61.9243	253.76659999999998	73.2507	69.8605	120.0789	212.9179	427.88070000000005	683.547	203.5425	43.6464	115.892	65.7679	86.02770000000001	167.38279999999997	220.9211	556.2221	351.58459999999997	504.3501	91.5893
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	1541.0241	647.3573	925.5697	1024.7688	849.8592	1333.0354	446.9599	635.6532	575.4982	1972.9286	814.4147	853.6296	786.5196	2088.2676	787.0117	245.3391	515.0965	1007.1397	256.3546	449.4004	432.4932	1063.5911	581.2317	527.1221	1548.0527	754.2951	57.6237	797.9805	695.1709	1034.1754	1304.1381999999999	523.9033000000001	1085.7049	496.818	1133.7683	979.5704	1176.5869	1005.3693000000001	304.0614	27.4311	683.6025	1976.9551	824.2839	572.993	478.9578	1525.4612	1938.1739	1268.3984	1383.3382	1012.1907	883.7836	340.4769	1326.1676	476.0158	187.4182	2469.1259	1575.6863	2703.8094	692.6947	1205.1845	668.8069
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	2156.0687	867.5048	1207.1645	985.6379999999999	1465.4682	1612.9618	725.0154	1159.9861	582.4312	2491.8992	947.5550000000001	943.8709	908.94	1649.3707	940.2464000000001	308.4632	500.2945	1238.0938999999998	341.7346	782.2725	497.22360000000003	1185.2386	763.505	804.9059	1999.9397	846.183	80.7801	812.634	860.3303	1925.3047	1673.3074	732.199	1291.0429	502.9298	1744.9282	1643.1829	2187.7968	1166.1221	269.9278	32.5971	1426.2265	1899.3478	472.1617	618.7127	556.1686	1467.8587	2876.6881	998.127	1583.487	1268.7044	981.244	777.668	1690.6698000000001	527.3535	227.4478	2765.9896	2617.0227	2541.7267	2365.2842	1609.6507	782.6987
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	604.9227	200.2252	247.70870000000002	349.3215	535.717	200.5401	225.282	277.7283	46.736599999999996	367.0931	132.0823	305.2186	110.3113	413.902	256.6308	31.2791	67.1535	391.402	144.75	362.6841	219.8843	522.3911	208.7791	312.3404	555.8952	385.345	17.6326	175.6061	209.6042	451.67199999999997	434.8463	239.0525	104.072	225.9633	794.6823999999999	486.7665	758.0153	800.7363	46.5092	0.0	396.7991	469.9022	302.2715	102.5964	123.6149	391.8168	1321.4883	535.3041000000001	307.8291	609.0378000000001	250.0318	312.2589	438.0839	156.12359999999998	78.9318	730.3442	1393.3485	626.2763	1060.5307	505.394	391.6038
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	2191.1304	986.3754	1379.8337	1130.9545	1649.2996	1943.0229	594.6876	1965.1834	1191.0171	3126.1374	1558.1906000000001	1693.04	1475.1278	2950.5897999999997	915.1969	366.0218	331.5522	1738.5138	363.3046	894.4191	648.252	4076.2672	483.3137	864.5757	3629.9774	1600.882	52.215	1603.6783	882.5563	1749.9563	2364.0494	1162.3946	1486.2818	650.7941	2378.8493	1809.9188	2420.8283	2194.1657	438.54589999999996	91.378	1318.558	2184.8669999999997	853.1844	646.0909	1131.3348	2273.0132	4055.4647	2584.0172	2045.1721	2383.7475	1262.0581	617.7314	2964.9583000000002	761.9544999999999	319.8762	2493.9889	2756.3593	1745.6076	2553.8849	2671.4695	1276.2624
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	931.3788999999999	356.842	532.8811000000001	634.1034	924.861	1040.4491	255.1668	407.0646	249.19259999999997	613.6036	374.7262	921.986	570.4977	1096.2654	47.6223	135.6972	236.6767	606.9571	194.7426	123.18849999999999	254.1322	329.7038	359.2738	168.3867	255.92370000000003	702.8503	15.0	368.6954	543.8049	695.7208	670.2106	479.18690000000004	859.491	227.2029	455.0436	986.373	1100.2605	1199.4592	134.09459999999999	8.4788	376.0704	1100.5532	227.78379999999999	142.9164	254.6116	521.4662	841.1988	1237.6792	810.5834	1190.3608000000002	588.2636	261.8752	889.5277	332.04859999999996	162.3212	202.5977	805.5453	660.3444	409.33969999999994	740.8002	587.385
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	2611.1268	1146.621	1148.4003	2258.1385	2428.1132	1795.9465	892.9802000000001	2504.7455	1130.5439999999999	4337.4822	2113.7309	2409.4291000000003	1468.7238	2323.1813	1131.7552	276.9058	475.64300000000003	2106.0425999999998	407.3493	830.827	692.8562	3132.2763	772.3826	953.8169	4589.6303	2274.987	58.1106	2098.9704	1260.2234	2812.248	3516.5746999999997	1431.1594	2135.7335000000003	643.5474	2807.2928	2084.7661	2802.3905	3167.763	603.9597	120.7199	1032.0810999999999	1443.0097	760.7014	992.1355	1437.5471	2800.5186	5940.1485	2861.8169	2532.0732	3886.7578	1251.436	887.6865	4339.3296	1005.9732	384.2203	2011.0209	2816.3167	1787.7753	1296.9164	3342.125	1890.3616
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	74.2166	0.0	116.4725	0.0	70.9728	56.4827	0.0	75.7348	0.0	39.0747	60.76	13.8212	37.3249	299.3856	0.0	50.8403	5.9236	145.7787	0.0	21.5742	10.4129	79.3548	0.0	14.9057	19.6331	0.0	0.0	0.0	33.0	0.0	47.9085	40.7787	24.8571	0.0	31.1662	5.5701	76.2045	18.4393	4.3203	0.0	73.5518	0.0	46.0	0.0	28.888	0.0	49.0	19.1279	262.3529	83.4379	24.0783	27.5024	5.7003	0.0	0.0	0.0	68.8217	32.3842	114.5425	150.7815	19.6618
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	58.3992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.4315	0.0	44.8282	0.0	0.0	0.0	16.6331	48.447	0.0	9.4031	7.0301	2.9806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.3372	0.0	0.0	0.0	0.0	0.0	42.0478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
