KO_ID	KO_function	SRS017381	SRS017387	SRS017439	SRS017445	SRS017511	SRS017533	SRS017634	SRS017691	SRS017713	SRS017751	SRS017757	SRS017808	SRS017814	SRS018055	SRS018061	SRS018145	SRS018157	SRS018300	SRS018337	SRS018357	SRS018394	SRS018439	SRS018479	SRS018501
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	0.0	0.0	104.0783	31.2785	0.0	0.0	0.0	0.0	0.0	101.4785	0.0	0.0	0.0	37.0	0.0	44.766	0.0	4.6676	0.0	46.1843	0.0	83.4957	0.0
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	0.0	4.1992	0.0	79.4634	42.7778	0.0	0.0	4.5244	0.0	0.0	96.0149	0.0	22.9092	0.0	0.0	0.0	63.3049	0.0	0.0	0.0	58.2453	0.0	0.0	0.0
K00024	malate dehydrogenase [EC:1.1.1.37]	326.8747	21.3323	35.0929	784.9031	568.8015	246.6111	151.4924	614.9601	942.1098000000001	580.5777	1144.7377000000001	434.067	298.4156	430.8939	360.9875	132.9328	1174.1675	153.0669	328.8993	99.7416	721.6158	1260.0758999999998	1490.3374000000001	180.05349999999999
K00026	malate dehydrogenase [EC:1.1.1.37]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.1635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	77.8416	50.566100000000006	160.5204	71.2638	6.7732	351.7053	47.6901	82.0402	120.04740000000001	0.0	213.4001	224.56279999999998	0.0	26.5945	0.0	178.7501	138.2791	327.6783	6.1309	68.87650000000001	21.5119	41.384100000000004	695.4513	114.10649999999998
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	864.975	42.2814	1264.1232	1563.9651	416.1591	630.4122	122.0204	618.1867	1143.2963	1041.1104	1755.0021	1091.1962	426.2985	861.1152	815.8596	2006.8524	1551.5458999999998	1048.6449	116.0509	1037.609	947.6863	1795.9216	1572.0576	987.8431
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	14.5214	8.5778	19.7891	0.0	46.3369	0.0	0.0	18.4182	12.109100000000002	0.0	93.63080000000001	64.88069999999999	0.0	23.5065	0.0	38.6667	74.8762	200.6567	0.0	39.4726	129.469	60.4285	57.9683	213.576
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	5.2605	0.0	19.5308	335.9912	159.9676	24.5502	22.5551	113.1659	27.949	10.0622	470.0097	114.3937	14.4099	0.0	157.1914	226.6327	217.41610000000003	61.7611	111.7085	26.5831	272.1262	15.2717	360.8413	78.5736
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	789.9379	90.1398	1957.2703000000001	2608.8826	1134.7816	1269.337	217.6063	653.5446	1407.1100000000001	1081.4873	1290.7761	1902.3239	1598.844	1261.9898	960.8621999999999	2403.0916	1219.7606	850.2103	987.2304	1262.8802	865.8605	2373.5708	1822.4745	543.3323
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	0.0	0.0	0.0	0.0	0.0	0.0	2.7369	54.9068	0.0	0.0	0.0	9.8906	0.0	0.0	0.0	0.0	0.0	17.715	0.0	0.0	0.0	13.0	10.6603	41.0992
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	393.2436	28.2162	1597.7446	2684.4887	743.7961	833.5589	140.71	430.7027	1088.2461	1040.1216	1470.9707	945.8957	970.9317	1003.2318	824.4203	1658.4679	1043.1106	630.814	1112.6691	788.655	612.2028	2125.165	1524.0004000000001	585.4214
K00040	fructuronate reductase [EC:1.1.1.57]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.9452
K00041	tagaturonate reductase [EC:1.1.1.58]	0.0	0.0	20.3183	0.0	11.4025	0.0	0.0	54.9461	0.0	0.0	85.129	60.7064	0.0	0.0	0.0	9.9715	12.0826	16.4084	0.0	6.4021	17.795	9.1862	69.191	103.31569999999999
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	0.0	0.0	0.0	40.4233	0.0	0.0	9.1593	15.5607	0.0	0.0	77.7763	0.0	0.0	0.0	33.2887	0.0	9.6216	0.0	0.0	0.0	23.3221	0.0	79.1531	76.0
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	0.0	34.098	0.0	225.6779	80.1971	0.0	79.4981	144.1402	0.0	0.0	116.6083	0.0	185.0971	0.0	89.26840000000001	0.0	206.69729999999998	0.0	288.17	0.0	105.0702	0.0	651.5964	50.7524
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	0.0	0.0	25.4328	5.5101	34.611599999999996	8.0	10.556000000000001	113.2881	25.3208	7.6505	180.6484	115.1826	7.2047	0.0	60.549	10.454	68.0	47.1255	12.375	0.0	25.0	8.1406	130.8283	11.9117
K00048	lactaldehyde reductase [EC:1.1.1.77]	305.8738	6.8303	89.7149	1539.8189	150.2856	193.418	98.76259999999999	116.0507	196.12689999999998	54.9653	468.7422	452.4003	215.99099999999999	288.32370000000003	431.6236	616.7942	235.4767	164.4086	222.8897	341.0892	336.6014	654.2743	180.9507	336.4634
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	591.1408	39.1944	1290.6165	2487.0851	737.0108	1239.7348	196.6325	600.8202	1436.0065	963.497	1765.5618	2194.9892	520.5373	994.5194	907.0625	2233.1775000000002	1118.2249	1781.7185	1020.1881	513.9054	895.358	2195.9198	1569.7758	641.3836
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	744.0495	69.7527	1390.2478999999998	3117.3759	943.2273	1465.9444	287.3208	1266.4465	1211.8849	1036.3155	1617.3959	2674.8282	1238.8206	1106.498	869.4649000000001	1091.8367	1350.4085	1931.3667	1205.6973	1371.0635	1512.3886	2189.6373999999996	1702.7013	1550.2306
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	107.8065	0.0	325.1237	473.6843	378.6556	583.4644	38.7941	364.389	340.7409	73.30449999999999	511.6331	320.5757	181.3482	202.07129999999998	239.2932	642.3732	966.1344	1182.1856	192.2161	230.2001	870.6726	286.7448	368.2668	282.86039999999997
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	1336.1221	114.1392	3312.603	2677.5335	1512.6323	1575.0918	311.953	1658.5610000000001	1495.5254	1047.5064	2531.8267	2575.7505	1246.4693	1146.931	977.1423	4336.807	2034.4174	2846.2327999999998	1039.5538	2018.7446	1924.8752	3595.1506999999997	2355.9289	1744.4506
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	344.8508	38.697	571.5374999999999	1960.7194	364.9724	461.82050000000004	101.2411	632.3105	350.5596	340.8272	1342.9123	428.321	209.7539	134.2618	685.7714	205.7011	1105.9921	564.3702	164.5125	587.4584000000001	939.7817	424.5983	1170.2885	388.3765
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	1771.1156	185.719	3932.8852	3665.4878	1784.7916	1441.4241	380.4723	1987.6825000000001	2345.4959	1751.9341	3740.8692	3034.1194	1106.4644	2007.5411	1168.3908999999999	3876.0677	3234.5737	3985.5189	914.7207999999999	2575.2507	2569.8319	4350.9473	3202.7945	3213.349
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	9.0924	0.0	41.2736	136.5598	71.5829	73.0	0.0	12.0646	42.0	6.4641	39.0	30.0317	0.0	0.0	0.0	20.2894	25.2226	49.4566	0.0	14.8852	48.315200000000004	28.408	45.112	32.0
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0.0	9.2674	3.1499	0.0	12.9817	23.1137	10.0183	14.6692	0.0	0.0	4.5176	6.2248	0.0	21.4328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.5801	0.0	0.0
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0029
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	733.8878	93.4421	689.547	1181.6655	873.5769	562.6878	187.42950000000002	1031.3245	992.1438	437.8944	1721.2503	846.6319	568.283	790.0911	339.61740000000003	1457.3608	1535.7933	979.4966	230.2329	1112.0705	1182.3675	1693.0761	1721.5386	1224.3926999999999
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	23.2226	17.8049	59.27	93.12129999999999	230.4612	195.7867	23.3635	220.8475	219.6864	5.2099	296.4545	175.628	175.5459	67.8968	132.5802	133.7638	209.6654	110.9886	237.95680000000002	341.80170000000004	301.3871	108.65169999999999	341.6489	127.0153
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	0.0	0.0	7.4568	20.3961	8.8904	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	20.8446	19.0	0.0	0.0	0.0	4.1083	0.0	13.0
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	107.1832	42.3364	240.8244	158.34359999999998	138.2774	100.8017	36.0786	102.3341	19.0	12.9482	250.47789999999998	221.8618	0.0	106.3396	58.4534	640.7799	76.2472	569.4814	93.3397	174.26350000000002	122.3457	170.6124	76.9101	256.008
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	1411.4613	172.7128	2969.0268	3235.4388	1704.9918	2239.7265	531.5223	2191.9884	1774.9921	1266.7403	3122.959	3203.0718	1280.566	1584.7671	955.9444	4645.058	2718.1369	3326.9585	894.8108	2468.8634	2287.9999	3333.3788	4091.1057	2754.1383
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	15.275	14.8423	0.0	19.1667	0.0	0.0	0.0	56.049800000000005	0.0	0.0	68.8766	0.0	0.0	0.0	0.0	9.6831	0.0	65.9785	0.0	14.1812	22.3422	9.2561	94.7017	37.3789
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	464.80179999999996	94.7758	564.9867	517.2072000000001	564.1103	228.2833	131.4566	448.93629999999996	145.67	100.36540000000001	831.5987	260.0612	412.32149999999996	167.5394	198.56629999999998	705.2715000000001	416.8187	285.1481	572.6696	300.2661	405.7702	535.396	1024.9239	374.5627
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	0.0	19.2573	0.0	218.0041	115.13739999999999	0.0	7.5013	20.9107	0.0	0.0	51.829	0.0	16.7191	0.0	68.0	0.0	56.9718	0.0	0.0	0.0	0.0	0.0	228.0002	0.0
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0.0	0.0	23.8709	6.7926	13.449	0.0	7.7694	0.0	0.0	0.0	18.6532	33.4559	0.0	0.0	0.0	16.3935	14.089099999999998	21.0	0.0	0.0	14.8425	26.2408	23.2132	201.3046
K00088	IMP dehydrogenase [EC:1.1.1.205]	995.4474	154.6833	1874.6602	2740.0517	1269.2299	1981.6909	243.9284	1308.2383	1454.2654	385.16949999999997	2412.394	2225.1277	904.8215	1224.9738	847.3132	2437.9651	1979.6461	2606.2219999999998	1041.2918	1607.1933	1658.9033	2619.3185	2801.2315	2238.7147999999997
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.2985
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	0.0	76.1776	45.8647	325.4334	109.8592	78.7851	61.0329	145.5642	35.0	11.1707	226.2318	107.3488	0.0	0.0	69.0	11.811	257.1752	55.788	0.0	13.4335	73.1884	21.263199999999998	1196.7592	31.631
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	297.5274	0.0	651.3571	154.875	22.4543	103.016	0.0	146.801	703.5751	0.0	406.69870000000003	315.7066	83.2005	605.0	93.8563	68.4508	274.5416	32.038	27.3864	138.7532	203.371	1178.9431	249.3576	250.5177
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6357	0.0	21.1676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.7856	0.0
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	945.1427	150.923	2160.313	2372.0774	888.3215	1331.016	308.6072	1090.6431	1283.4278	1014.0243	2052.3705	2137.1338	746.6573	1372.32	673.4447	2495.6021	1412.2105999999999	2305.6489	681.6022	2015.8092	1093.8084	3054.77	2271.7165	2061.8853
K00100	butanol dehydrogenase [EC:1.1.1.-]	8.1103	20.5824	29.5425	6.7795	20.7596	0.0	0.0	20.7438	0.0	0.0	37.3673	39.0587	0.0	13.0	0.0	42.693799999999996	0.0	28.97	0.0	6.0553	34.2324	27.7995	37.3555	6.1726
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	371.3358	44.998400000000004	43.2373	1039.9674	613.1756	258.9507	152.68689999999998	482.3439	1864.7977999999998	560.7759	856.5228999999999	303.0229	241.1921	502.0888	218.7613	213.96179999999998	553.3294	26.9753	625.9799	293.3032	500.0909	1081.2703	1223.2779	160.1891
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	0.0	0.0	0.0	121.6254	32.3547	0.0	0.0	4.6246	0.0	0.0	90.208	0.0	25.3761	0.0	76.2147	0.0	31.7228	0.0	0.0	0.0	66.1417	0.0	70.0	0.0
K00104	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	0.0	0.0	0.0	186.27100000000002	49.7591	7.5942	0.0	44.1969	0.0	0.0	76.69649999999999	0.0	37.3508	0.0	97.35029999999999	0.0	92.3494	71.49680000000001	8.799	0.0	97.93469999999999	44.754	249.8302	69.18549999999999
K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	0.0	0.0	22.1719	0.0	36.9513	0.0	11.5441	0.0	41.9995	9.7488	38.948	25.4007	54.0536	50.3628	117.108	32.3404	0.0	9.9661	195.1176	71.6683	0.0	0.0	35.4882	0.0
K00108	choline dehydrogenase [EC:1.1.99.1]	0.0	0.0	0.0	258.9832	136.435	0.0	5.3798	0.0	0.0	0.0	154.6922	0.0	186.20190000000002	0.0	106.5831	0.0	122.7466	0.0	0.0	0.0	127.0258	0.0	96.8303	90.0
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	348.0351	100.2238	1468.9515000000001	2230.7876	860.1064	634.9664	212.5696	584.6309	591.7239	371.9092	1219.7787	852.8599	994.6646000000001	168.6771	742.3354	1066.0129	1065.9854	1333.4511	782.6512	479.7387	639.2094	407.6739	1515.5715	311.5756
K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	326.7167	30.8413	1384.2077	1292.2814	74.6226	643.4342	66.9198	274.0145	369.7087	256.50840000000005	405.9826	1079.069	252.486	426.4859	408.66279999999995	1768.8071	449.93179999999995	337.5251	119.2907	1095.9816	117.5341	556.4116	473.8424	224.34300000000002
K00113	glycerol-3-phosphate dehydrogenase subunit C	342.9877	28.366999999999997	1143.4807	1278.4965	14.4038	297.8328	39.6191	201.0778	348.1075	21.7491	392.7961	742.9303	227.471	318.83629999999994	426.2526	1044.6053	455.2034	124.0457	112.6228	248.636	101.6802	87.274	439.0928	206.5434
K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0312
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	378.0185	0.0	366.8267	417.9864	449.5893	196.51389999999998	52.9683	499.9087	907.3453000000001	620.5785000000001	689.5975	224.9803	429.1529	615.2211	42.7161	127.17530000000001	399.6325	60.872600000000006	259.6419	222.2982	486.2126	1011.1283999999999	463.6775	313.839
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	402.4354	0.0	214.5171	72.0188	30.808500000000002	75.0387	0.0	12.2082	501.0449	645.6166	261.0994	162.117	59.026	300.3949	105.0635	43.664	87.4349	48.650000000000006	15.5215	104.2823	127.0887	719.4987	278.0779	163.5662
K00124	formate dehydrogenase iron-sulfur subunit	332.3828	9.3467	969.2318	2801.5938	189.1719	422.8102	16.5509	154.1025	419.2317	152.031	655.1851	855.5435	227.0792	591.9934	885.9906	1265.904	836.2814	110.8427	243.1876	491.59630000000004	176.91989999999998	440.17690000000005	205.1216	231.47129999999999
K00125	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2041	0.0	0.0	25.0226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.3241	0.0
K00127	formate dehydrogenase subunit gamma	255.5292	20.3476	864.2872	1361.1889	134.9282	261.1118	39.6046	327.0448	143.6388	0.0	452.4649	881.797	217.2136	490.21299999999997	477.1776	1150.2546	524.3133	274.7412	106.44819999999999	466.013	186.5382	246.459	393.1077	198.08929999999998
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	153.2171	0.0	393.522	48.475300000000004	78.5484	0.0	23.8749	0.0	0.0	10.1143	65.2464	182.5803	0.0	147.5852	6.402	972.2486	20.7293	105.52759999999999	0.0	231.1113	67.1953	263.2132	15.6478	21.0721
K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	0.0	0.0	0.0	157.184	52.0402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.5287	0.0	78.15950000000001	0.0	64.6421	0.0	0.0	0.0	68.9768	0.0	53.6994	157.9932
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	25.5788	0.0	106.1729	269.0096	135.7582	77.0689	17.2483	317.7943	36.6235	7.8946	198.6937	145.7376	51.8119	38.254900000000006	140.452	57.125699999999995	730.0219	469.902	170.05530000000002	67.8523	692.7055	163.9257	162.54500000000002	323.3289
K00132	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	104.9124	0.0	305.5515	241.00150000000002	225.85809999999998	72.7304	40.8926	119.62289999999999	11.173	75.2671	234.9519	122.5681	100.2122	76.4727	104.72919999999999	266.5086	312.3797	544.3922	91.0	145.6045	398.7572	173.7177	140.2791	193.5645
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1148.2123000000001	127.2492	2300.7991	2881.8707999999997	1444.5212	1457.6552	349.6814	1581.9741	1524.7234	1135.1997000000001	2511.9065	2200.0853	946.5845	1311.8987	1005.2	3182.7595	2123.2898999999998	2468.5769	1090.3969	2403.5668	1482.6727	3061.3401	2495.3474	2339.9793
K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	1219.6904	106.3105	2588.0625	2590.7034	1376.1941	1457.9018	392.0066	1526.1904	2063.7445000000002	1232.9875	2839.1626	2584.983	1400.5304	1950.3634000000002	814.9124	3598.5021	2222.4043	2676.9127	1488.0734	1920.5291	1809.7956	4468.08	3282.5336	1962.3507
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	364.0347	0.0	509.1815	705.9059	717.5721	223.49859999999998	113.2114	76.8335	1176.7666	530.677	704.0638	310.71070000000003	772.8839	421.9492	261.143	168.3506	489.9979	0.0	339.607	251.85469999999998	606.3529	1186.466	671.2747	301.2998
K00137	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0
K00138	aldehyde dehydrogenase [EC:1.2.1.-]	0.0	0.0	0.0	71.4267	48.0	0.0	0.0	0.0	0.0	0.0	28.3695	0.0	156.4089	0.0	37.2847	0.0	29.1815	0.0	0.0	0.0	61.9349	0.0	6.9185	180.54500000000002
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	14.8651	0.0	507.90049999999997	1513.7291	81.1275	126.7677	0.0	51.6864	48.4917	167.2105	137.6413	112.1028	387.2069	118.58840000000001	525.5102999999999	657.0575	412.05649999999997	415.6461	305.6238	125.8432	136.6701	344.64549999999997	308.7984	439.27070000000003
K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	406.447	45.5405	575.9531000000001	856.495	692.9503	236.7067	163.78900000000002	489.1333	1188.9298999999999	923.4490000000001	1337.78	542.4008	600.2118	744.7852	288.5833	925.1133	1077.9613	944.3061	609.6739	342.9751	1356.1909	1400.4728	1178.8582	859.1927
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	877.0658	65.07849999999999	656.0081	1936.1279	985.9083	719.4831	101.14489999999999	487.4854	1122.771	595.6043	1337.593	1017.7927000000001	579.3461	825.8729	718.4507	939.8586	1003.7271	1006.6944	522.2667	957.917	744.1616	1549.4906	1340.6869	1082.8161
K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.6925
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8056	0.0	0.0	19.7114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
